0,0,4
24,0,4
48,0,4
72,0,4
96,0,4
120,0,4
144,0,4
168,0,4
192,0,4
216,0,4
240,0,4
264,0,4
288,0,4
312,0,4
336,0,4
360,0,4
384,0,4
408,0,4
432,0,4
456,0,4
480,0,4
504,0,4
528,0,4
552,0,4
576,0,4
600,0,4
0,24,4
0,48,4
0,72,4
0,96,4
0,120,4
0,144,4
0,168,4
0,192,4
0,216,4
0,240,4
0,264,4
0,288,4
0,312,4
0,336,4
0,360,4
0,384,4
600,24,4
600,48,4
600,72,4
600,96,4
600,120,4
600,144,4
600,168,4
600,192,4
600,216,4
600,240,4
600,264,4
600,288,4
600,312,4
600,336,4
600,360,4
600,384,4
24,24,0
96,24,0
168,24,1
240,24,0
312,24,3
384,24,0
456,24,2
528,24,1
24,48,1
96,48,0
168,48,0
240,48,2
312,48,3
384,48,1
456,48,0
528,48,0
24,72,3
96,72,0
168,72,1
240,72,2
312,72,3
384,72,0
456,72,0
528,72,2
24,96,1
96,96,2
168,96,0
240,96,3
312,96,0
384,96,1
456,96,2
528,96,3
24,120,3
96,120,0
168,120,1
240,120,2
312,120,0
384,120,3
456,120,2
528,120,0
24,144,0
96,144,2
168,144,1
240,144,2
312,144,3
384,144,0
456,144,2
528,144,1
